article,chunk_name,png_path,code,functions,function_labels
1-one-title-for-2-graphs,thecode-1,images/1-one-title-for-2-graphs/thecode-1.png,"#Dummy data 
Ixos <- rnorm(4000,100,30)
Primadur <- Ixos+rnorm(4000 , 0 , 30)
 
#Divide the screen in 1 line and 2 columns
par(
  mfrow=c(1,2), 
  oma = c(0, 0, 2, 0)
) 
 
#Make the margin around each graph a bit smaller
par(mar=c(4,2,2,2))
 
# Histogram and Scatterplot
hist(Ixos,  main="""" , breaks=30 , col=rgb(0.3,0.5,1,0.4) , xlab=""height"" , ylab=""nbr of plants"")
plot(Ixos , Primadur,  main="""" , pch=20 , cex=0.4 , col=rgb(0.3,0.5,1,0.4)  , xlab=""primadur"" , ylab=""Ixos"" )
 
#And I add only ONE title :
mtext(""Primadur : Distribution and correlation with Ixos"", outer = TRUE, cex = 1.5, font=4, col=rgb(0.1,0.3,0.5,0.5) )","<-,rnorm,+,par,c,hist,rgb,plot,mtext",hist
1-one-title-for-2-graphs,thecode2-1,images/1-one-title-for-2-graphs/thecode2-1.png,"# Create data
data = data.frame(
  x=seq(1:100) + 0.1*seq(1:100)*sample(c(1:10) , 100 , replace=T),
  y=seq(1:100) + 0.2*seq(1:100)*sample(c(1:10) , 100 , replace=T)
)

# Basic scatterplot
plot(data$x, data$y,
     xlim=c(0,250) , ylim=c(0,250), 
     pch=18, 
     cex=2, 
     col=""#69b3a2"",
     xlab=""value of X"", ylab=""value of Y"",
     main=""A simple scatterplot""
     )","=,data.frame,+,seq,:,*,sample,c,plot,$",
100-high-density-scatterplot-with-binning,thecode-1,images/100-high-density-scatterplot-with-binning/thecode-1.png,"# Packages
library(hexbin)
library(RColorBrewer)
 
# Create data
x <- rnorm(mean=1.5, 5000)
y <- rnorm(mean=1.6, 5000)
 
# Make the plot
bin<-hexbin(x, y, xbins=40)
my_colors=colorRampPalette(rev(brewer.pal(11,'Spectral')))
plot(bin, main="""" , colramp=my_colors , legend=F ) 
","library,<-,rnorm,hexbin,=,colorRampPalette,rev,brewer.pal,plot",hexbin
104-plot-lines-with-error-envelopes-ggplot2,thecode-1,images/104-plot-lines-with-error-envelopes-ggplot2/thecode-1.png,"library(ggplot2)
 
# Get the data from the web !
CC <- read.table(""http://www.sr.bham.ac.uk/~ajrs/papers/sanderson06/mean_Tprofile-CC.txt"" ,  header=TRUE)
nCC <- read.table(""http://www.sr.bham.ac.uk/~ajrs/papers/sanderson06/mean_Tprofile-nCC.txt"" , header=TRUE)
CC$type <- ""Cool core""
nCC$type <- ""Non-cool core""
A <- rbind(CC, nCC)
 
 
# Make the plot
ggplot(data=A, aes(x=r.r500, y=sckT, ymin=sckT.lo, ymax=sckT.up, fill=type, linetype=type)) + 
 geom_line() + 
 geom_ribbon(alpha=0.5) + 
 scale_x_log10() + 
 scale_y_log10() + 
 xlab(as.expression(expression( paste(""Radius ("", R[500], "")"") ))) + 
 ylab(""Scaled Temperature"")
","library,<-,read.table,$,rbind,+,ggplot,aes,geom_line,geom_ribbon,scale_x_log10,scale_y_log10,xlab,as.expression,expression,paste,[,ylab","geom_line,geom_ribbon"
115-study-correlations-with-a-correlogram,thecode-1,images/115-study-correlations-with-a-correlogram/thecode-1.png,"# Corrgram library
library(corrgram)

# mtcars dataset is natively available in R
# head(mtcars)

# First
corrgram(mtcars, order=TRUE, lower.panel=panel.shade, upper.panel=panel.pie, text.panel=panel.txt, main=""Car Milage Data in PC2/PC1 Order"") 

# Second
corrgram(mtcars, order=TRUE, lower.panel=panel.ellipse, upper.panel=panel.pts, text.panel=panel.txt, diag.panel=panel.minmax, main=""Car Milage Data in PC2/PC1 Order"") 

# Third
corrgram(mtcars, order=NULL, lower.panel=panel.shade, upper.panel=NULL, text.panel=panel.txt, main=""Car Milage Data (unsorted)"")","library,corrgram",corrgram
115-study-correlations-with-a-correlogram,thecode-2,images/115-study-correlations-with-a-correlogram/thecode-2.png,,,
115-study-correlations-with-a-correlogram,thecode2-1,images/115-study-correlations-with-a-correlogram/thecode2-1.png,"# Quick display of two cabapilities of GGally, to assess the distribution and correlation of variables
library(GGally)

# Create data
data <- data.frame( var1 = 1:100 + rnorm(100,sd=20), v2 = 1:100 + rnorm(100,sd=27), v3 = rep(1, 100) + rnorm(100, sd = 1))
data$v4 = data$var1 ** 2
data$v5 = -(data$var1 ** 2)

# Check correlation between variables
#cor(data)

# Nice visualization of correlations
ggcorr(data, method = c(""everything"", ""pearson""))","library,<-,data.frame,+,:,rnorm,rep,=,$,^,-,(,ggcorr,c",ggcorr
115-study-correlations-with-a-correlogram,thecode3-1,images/115-study-correlations-with-a-correlogram/thecode3-1.png,"# Quick display of two cabapilities of GGally, to assess the distribution and correlation of variables
library(GGally)

# From the help page:
data(flea)
ggpairs(flea, columns = 2:4, ggplot2::aes(colour=species))","library,data,ggpairs,:,aes",ggpairs
115-study-correlations-with-a-correlogram,thecode4-1,images/115-study-correlations-with-a-correlogram/thecode4-1.png,"# Quick display of two cabapilities of GGally, to assess the distribution and correlation of variables
library(GGally)

# From the help page:
data(tips, package = ""reshape"")
ggpairs(
  tips[, c(1, 3, 4, 2)],
  upper = list(continuous = ""density"", combo = ""box_no_facet""),
  lower = list(continuous = ""points"", combo = ""dot_no_facet"")
)","library,data,ggpairs,[,c,list",ggpairs
119-add-a-legend-to-a-plot,thecode-1,images/119-add-a-legend-to-a-plot/thecode-1.png,"# Create data:
a=c(1:5)
b=c(5,3,4,5,5)
c=c(4,5,4,3,1)
 
# Make a basic graph
plot( b~a , type=""b"" , bty=""l"" , xlab=""value of a"" , ylab=""value of b"" , col=rgb(0.2,0.4,0.1,0.7) , lwd=3 , pch=17 , ylim=c(1,5) )
lines(c ~a , col=rgb(0.8,0.4,0.1,0.7) , lwd=3 , pch=19 , type=""b"" )
 
# Add a legend
legend(""bottomleft"", 
  legend = c(""Group 1"", ""Group 2""), 
  col = c(rgb(0.2,0.4,0.1,0.7), 
  rgb(0.8,0.4,0.1,0.7)), 
  pch = c(17,19), 
  bty = ""n"", 
  pt.cex = 2, 
  cex = 1.2, 
  text.col = ""black"", 
  horiz = F , 
  inset = c(0.1, 0.1))","=,c,:,plot,~,rgb,lines,legend",lines
120-plot-with-an-image-as-background,thecode-1,images/120-plot-with-an-image-as-background/thecode-1.png,"# If you want to show an image coming from the web, first download it with R:
download.file(""https://github.com/holtzy/R-graph-gallery/blob/master/img/logo/R_full_medium.png?raw=true"" , destfile=""tmp.png"")
#Else, just place the image in the current directory
 
# Charge the image as an R object with the ""JPEG"" package
library(jpeg)
library(png)
my_image <- readPNG(""tmp.png"")
 
# Set up a plot area with no plot
plot(1:2, type='n', main="""", xlab=""x"", ylab=""y"")
 
# Get the plot information so the image will fill the plot box, and draw it
lim <- par()
rasterImage(my_image, 
            xleft=1, xright=2, 
            ybottom=1.3, ytop=1.7)
grid()
 
#Add your plot !
lines(
  x=c(1, 1.2, 1.4, 1.6, 1.8, 2.0), 
  y=c(1, 1.3, 1.7, 1.6, 1.7, 1.0), 
  type=""b"", lwd=5, col=""black"")","download.file,library,<-,readPNG,plot,:,par,rasterImage,grid,lines,c","rasterImage,lines"
